日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/07/18,永和,PM2.5,5,3,5,6,5,7,4,3,6,5,6,6,4,4,3,3,6,7,6,3,5,7,7,4
2018/07/19,永和,PM2.5,3,5,4,4,1,3,10,8,7,7,6,6,7,7,8,12,13,11,6,4,5,6,5,4
2018/07/20,永和,PM2.5,2,5,7,7,6,4,3,2,5,7,11,11,7,7,9,8,4,4,9,10,8,7,8,15
2018/07/21,永和,PM2.5,18,13,10,15,14,12,12,13,15,19,22,16,9,7,4,7,9,7,6,8,7,6,7,7
2018/07/22,永和,PM2.5,5,5,4,7,12,8,5,5,10,12,8,10,11,11,14,18,14,13,18,17,14,14,13,12
2018/07/23,永和,PM2.5,13,14,13,12,14,15,17,20,17,16,15,19,26,26,26,28,28,20,13,7,8,13,10,10
2018/07/24,永和,PM2.5,10,8,11,12,10,11,10,12,16,24,,35,33,28,23,26,26,20,16,14,15,16,15,15
2018/07/25,永和,PM2.5,15,13,10,8,11,15,13,12,17,24,24,26,27,26,,29,28,22,20,24,19,12,7,5
2018/07/26,永和,PM2.5,7,10,13,15,16,16,12,12,16,26,39,38,34,27,29,34,26,25,26,21,18,20,20,16
2018/07/27,永和,PM2.5,13,15,17,15,13,15,20,24,23,26,27,23,21,23,20,16,17,22,25,23,24,26,24,22
2018/07/28,永和,PM2.5,20,19,21,21,17,17,17,18,23,24,24,30,30,25,23,23,26,25,23,23,22,23,26,26
2018/07/29,永和,PM2.5,23,20,17,14,13,16,18,20,23,21,19,20,22,19,17,16,16,18,19,20,22,22,23,23
2018/07/30,永和,PM2.5,22,22,20,15,17,21,19,19,24,25,21,23,25,22,26,29,31,27,25,23,21,18,18,18
2018/07/31,永和,PM2.5,14,14,17,17,15,16,20,22,22,22,23,23,21,22,26,22,21,25,25,25,25,23,21,20
2018/08/01,永和,PM2.5,19,22,22,19,20,18,21,25,25,,,24,25,24,24,22,18,20,23,19,19,23,25,24
